First_column,Second_column,Third_column,Fourth_column,Fifth_column,Sixth_column,Seventh_column,Eighth_column
w9,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,3336.6323812509017,-0.0006249720740925113
w8,12,7449.990625,-0.0006239746497271881,7449.990625,-0.0006239746497271881,3290.644529990473,-0.0006239693206566699
02,1289,7449.990625,-0.0005168434569213787,7449.990625,-0.0005168434569213787,5038.105812827387,-0.0005168416805645393
03,1322,7449.990625,-0.0005140741166087537,7449.990625,-0.0005140741166087537,5116.111101074609,-0.0005140687875382355
00,17088,7449.990625,0.0008085780933697606,7449.990625,0.0008085780933697606,4885.946062017699,0.0008085869751539576
01,8963,7449.990625,0.000126950006062998,7449.990625,0.000126950006062998,4961.388794976387,0.0001269553351335162
06,1787,7449.990625,-0.0004750653204155242,7449.990625,-0.0004750653204155242,5357.993829630599,-0.000475059991345006
07,1676,7449.990625,-0.0004843760947892406,7449.990625,-0.0004843760947892406,5441.288469623555,-0.0004843725420755618
04,1379,7449.990625,-0.0005092912758186685,7449.990625,-0.0005092912758186685,5195.418476655176,-0.0005092877231049897
05,1441,7449.990625,-0.0005040909911713243,7449.990625,-0.0005040909911713243,5276.041573794392,-0.0005040865502792258
08,1747,7449.990625,-0.00047841908212831186,7449.990625,-0.00047841908212831186,5525.938492760949,-0.00047841375305779366
09,1867,7449.990625,-0.00046835335609785034,7449.990625,-0.00046835335609785034,5611.9566565784935,-0.00046834536249207304
0space,12001,7449.990625,0.00038181546813120804,7449.990625,0.00038181546813120804,3840.304456900007,0.00038181990902330654
0-,457,7449.990625,-0.000586640958033513,7449.990625,-0.000586640958033513,4667.121479103146,-0.0005866391816766736
wg,103,7449.990625,-0.0006163389798530261,7449.990625,-0.0006163389798530261,6587.346400736556,-0.0006163336507825079
wf,232,7449.990625,-0.0006055165258089801,7449.990625,-0.0006055165258089801,6488.484051813026,-0.0006055129730953013
we,22260,7449.990625,0.0012424710149616658,7449.990625,0.0012424710149616658,6391.046436907291,0.0012424798967458628
wd,430,7449.990625,-0.000588906701182168,7449.990625,-0.000588906701182168,6295.024475774188,-0.0005889031484684892
wc,455,7449.990625,-0.0005868088237548363,7449.990625,-0.0005868088237548363,6200.408730549588,-0.0005868061592195772
wb,483,7449.990625,-0.0005844595918347295,7449.990625,-0.0005844595918347295,6107.189419977628,-0.0005844542627642113
wa,35375,7449.990625,0.002342726013182528,7449.990625,0.002342726013182528,6015.356433627394,0.002342734006788305
0U,0,7449.990625,-0.0006249809558767083,7449.990625,-0.0006249809558767083,8617.00802906477,-0.0006249756268061901
wo,16026,7449.990625,0.000719484916089641,7449.990625,0.000719484916089641,7430.496015161358,0.0007194875806249001
wn,7760,7449.990625,2.602718041089247e-05,7449.990625,2.602718041089247e-05,7319.956488124333,2.602984494615157e-05
wm,262,7449.990625,-0.0006030003163459696,7449.990625,-0.0006030003163459696,7210.899768145549,-0.0006029949872754514
wl,1124,7449.990625,-0.0005306839412355657,7449.990625,-0.0005306839412355657,7103.320142626773,-0.0005306821648787263
wk,232,7449.990625,-0.0006055165258089801,7449.990625,-0.0006055165258089801,6997.211429628397,-0.0006055129730953013
wj,25,7449.990625,-0.0006228830784493766,7449.990625,-0.0006228830784493766,6892.566991428693,-0.0006228795257356978
wi,26043,7449.990625,0.0015598375924241736,7449.990625,0.0015598375924241736,6789.379748243859,0.0015598473623867903
wh,17008,7449.990625,0.0008018670172305065,7449.990625,0.0008018670172305065,6687.642192086001,0.0008018741226578641
ww,1672,7449.990625,-0.00048471182623188724,7449.990625,-0.00048471182623188724,8368.713531471902,-0.00048470827351820844
wv,26,7449.990625,-0.0006227987014995051,7449.990625,-0.0006227987014995051,8246.166522670808,-0.0006227915960721475
wu,169,7449.990625,-0.0006108020755846155,7449.990625,-0.0006108020755846155,8125.129569827005,-0.0006107958583356776
wt,463,7449.990625,-0.000586137360869543,7449.990625,-0.000586137360869543,8005.601176211868,-0.0005861302554421854
ws,3016,7449.990625,-0.00037195935220779575,7449.990625,-0.00037195935220779575,7887.579275875101,-0.00037195579949411695
wr,3184,7449.990625,-0.00035786573704399416,7449.990625,-0.00035786573704399416,7771.061245073876,-0.00035786218433031536
wq,11,7449.990625,-0.0006240563621418005,7449.990625,-0.0006240563621418005,7656.043914050934,-0.0006240536976065414
wp,214,7449.990625,-0.0006070282054793097,7449.990625,-0.0006070282054793097,7542.523579138073,-0.0006070255409440506
wz,20,7449.990625,-0.0006233031868418948,7449.990625,-0.0006233031868418948,8745.421093180003,-0.0006232951932361175
wy,529,7449.990625,-0.0005806004566011325,7449.990625,-0.0005806004566011325,8618.340791807088,-0.0005805969038874537
wx,4,7449.990625,-0.0006246452244340617,7449.990625,-0.0006246452244340617,8492.771512680472,-0.0006246398953635435
